Reference, Value, Footprint, Datasheet, MFG Name, MFG Part Num, Distrib PN, Distrib Link, Tolerance, Others
U4,74LS90,clock:SOIC-14,http://www.ti.com/lit/ds/symlink/sn74ls93.pdf,Texas Instruments,SN74LS90D,296-3746-5-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LS90D/296-3746-5-ND/377741,-,http://www.digikey.com/products/en?keywords=74ls90&stock=1
U6,74LS90,clock:SOIC-14,http://www.ti.com/lit/ds/symlink/sn74ls93.pdf,Texas Instruments,SN74LS90D,296-3746-5-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LS90D/296-3746-5-ND/377741,-,http://www.digikey.com/products/en?keywords=74ls90&stock=1
U8,74LS247,clock:SOIC-16,http://www.ti.com/lit/ds/symlink/sn74ls247.pdf,Texas Instruments,SN74LS247DR,296-38241-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LS247DR/296-38241-1-ND/4967446,-,http://www.digikey.com/products/en?keywords=74ls247&stock=1
U10,74LS247,clock:SOIC-16,http://www.ti.com/lit/ds/symlink/sn74ls247.pdf,Texas Instruments,SN74LS247DR,296-38241-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LS247DR/296-38241-1-ND/4967446,-,http://www.digikey.com/products/en?keywords=74ls247&stock=1
SW2,SWITCH_HR,clock:SWITCH_SPDT,http://media.digikey.com/pdf/Data%20Sheets/NKK%20PDFs/AB_Series.pdf,NKK Switches,AB15AP-FA,360-2706-ND,http://www.digikey.com/product-detail/en/nkk-switches/AB15AP-FA/360-2706-ND/1058527,-,-
S1,7SEGM_HT,Displays_7-Segment:7SegmentLED_LTS6760_LTS6780,http://www.excesssolutions.com/mas_assets/acrobat/ES6683.pdf,Lite-On Inc.,LTS-6760P,160-2014-5-ND,http://www.digikey.com/product-detail/en/lite-on-inc/LTS-6760P/160-2014-5-ND/3199482,-,-
S2,7SEGM_HO,Displays_7-Segment:7SegmentLED_LTS6760_LTS6780,http://www.excesssolutions.com/mas_assets/acrobat/ES6683.pdf,Lite-On Inc.,LTS-6760P,160-2014-5-ND,http://www.digikey.com/product-detail/en/lite-on-inc/LTS-6760P/160-2014-5-ND/3199482,-,-
S3,7SEGM_MT,Displays_7-Segment:7SegmentLED_LTS6760_LTS6780,http://www.excesssolutions.com/mas_assets/acrobat/ES6683.pdf,Lite-On Inc.,LTS-6760P,160-2014-5-ND,http://www.digikey.com/product-detail/en/lite-on-inc/LTS-6760P/160-2014-5-ND/3199482,-,-
S4,7SEGM_MO,Displays_7-Segment:7SegmentLED_LTS6760_LTS6780,http://www.excesssolutions.com/mas_assets/acrobat/ES6683.pdf,Lite-On Inc.,LTS-6760P,160-2014-5-ND,http://www.digikey.com/product-detail/en/lite-on-inc/LTS-6760P/160-2014-5-ND/3199482,-,-
D2,LED,LEDs:LED_0805,http://optoelectronics.liteon.com/upload/download/DS22-2000-109/S_110_LTST-C171KRKT.pdf,Lite-On,LTST-C171KRKT,160-1427-1-ND,http://www.digikey.com/product-detail/en/lite-on-inc/LTST-C171KRKT/160-1427-1-ND/386800,-,http://www.digikey.com/products/en/optoelectronics/led-indication-discrete/105?k=&pkeyword=&pv1989=0&pv37=1&pv1843=2&pv16=6&FV=ffe00069&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
